1	N	45
1	J	46
0	J	46
1	R	46
2	N	46
2	J	47
1	W	47
2	R	47
3	N	64
3	J	65
2	E	70
1	J	70
3	R	70
1	R	77
4	N	77
4	J	77
1	W	77
4	R	77
5	N	113
5	J	114
4	W	115
5	R	115
4	J	117
5	E	118
4	R	118
4	W	124
0	R	124
4	J	411
4	R	411
4	W	412
0	R	412
4	J	477
4	R	477
4	W	477
0	R	477
4	J	482
4	R	482
4	W	482
0	R	482
4	J	1017
4	R	1017
4	W	1017
0	R	1017
4	J	1020
4	R	1020
4	W	1020
0	R	1020
4	J	1047
4	R	1047
4	W	1047
0	R	1047
4	J	1052
4	R	1052
4	W	1052
0	R	1052
4	J	1072
4	R	1072
4	W	1072
0	R	1072
4	J	1077
4	R	1077
4	W	1077
0	R	1077
4	J	1137
4	R	1137
4	W	1143
0	R	1143
4	J	1287
4	R	1287
6	N	1288
6	J	1289
4	W	1289
6	R	1289
7	N	1292
7	J	1293
8	N	1293
8	J	1294
9	N	1294
9	J	1295
10	N	1295
10	J	1296
11	N	1296
11	J	1297
6	W	1297
11	R	1297
11	J	1397
10	R	1397
10	J	1497
9	R	1497
9	J	1597
8	R	1597
8	J	1697
7	R	1697
7	J	1797
11	R	1797
11	J	1897
10	R	1897
9	R	1897
9	J	1997
8	R	1997
7	R	1997
10	J	2097
7	J	2097
10	R	2097
11	R	2097
8	J	2197
11	J	2197
8	R	2197
9	R	2197
10	J	2297
9	J	2297
10	R	2297
7	R	2297
8	J	2397
7	J	2397
8	R	2397
11	R	2397
10	J	2497
11	J	2497
10	R	2497
9	R	2497
8	J	2597
9	J	2597
8	R	2597
7	R	2597
10	J	2697
7	J	2697
10	R	2697
11	R	2697
8	J	2797
11	J	2797
8	R	2797
9	R	2797
10	J	2897
9	J	2897
10	R	2897
7	R	2897
8	J	2997
7	J	2997
8	R	2997
11	R	2997
10	J	3097
3	J	3097
11	J	3097
3	R	3097
