1	N	45
1	J	46
0	J	46
1	R	46
2	N	46
2	J	47
1	W	47
2	R	47
3	N	64
3	J	65
2	E	70
1	J	70
1	R	70
4	N	70
4	J	71
1	W	71
3	R	71
4	R	78
5	N	114
5	J	114
4	W	115
5	R	115
4	J	117
5	E	118
4	R	118
4	W	124
0	R	124
4	J	387
4	R	387
4	W	387
0	R	387
4	J	477
4	R	477
4	W	477
0	R	477
4	J	567
4	R	567
6	N	569
6	J	570
4	W	570
6	R	570
6	E	578
4	J	578
4	R	578
7	N	578
7	J	579
4	W	579
7	R	579
4	J	582
7	E	583
4	R	583
4	W	583
0	R	583
4	J	1347
4	R	1347
4	W	1347
0	R	1347
4	J	1377
4	R	1377
4	W	1377
0	R	1377
4	J	1382
4	R	1382
4	W	1382
0	R	1382
4	J	1557
4	R	1557
4	W	1557
0	R	1557
4	J	1583
4	R	1583
4	W	1584
0	R	1584
4	J	1587
4	R	1587
4	W	1587
0	R	1587
4	J	1617
4	R	1617
4	W	1617
0	R	1617
4	J	1677
4	R	1677
4	W	1683
0	R	1683
4	J	1827
4	R	1827
8	N	1827
8	J	1828
4	W	1829
8	R	1829
9	N	1832
9	J	1833
10	N	1833
10	J	1834
11	N	1834
11	J	1835
12	N	1835
12	J	1836
13	N	1836
13	J	1837
8	W	1837
13	R	1837
13	J	1852
12	R	1852
12	J	1867
11	R	1867
11	J	1882
10	R	1882
10	J	1897
9	R	1897
9	J	1912
13	R	1912
13	J	1927
12	R	1927
12	J	1942
11	R	1942
11	J	1957
10	R	1957
10	J	1972
9	R	1972
9	J	1987
13	R	1987
13	J	2002
12	R	2002
12	J	2017
11	R	2017
11	J	2032
10	R	2032
10	J	2047
9	R	2047
9	J	2062
13	R	2062
13	J	2077
12	R	2077
12	J	2092
11	R	2092
11	J	2107
10	R	2107
10	J	2122
9	R	2122
9	J	2137
13	R	2137
13	J	2152
12	R	2152
12	J	2167
11	R	2167
11	J	2182
10	R	2182
10	J	2197
9	R	2197
9	J	2212
13	R	2212
13	J	2227
12	R	2227
12	J	2242
11	R	2242
11	J	2257
10	R	2257
10	J	2272
9	R	2272
9	J	2287
13	R	2287
13	J	2302
12	R	2302
11	R	2312
11	J	2327
10	R	2327
9	R	2337
9	J	2352
13	R	2352
13	J	2367
11	R	2367
11	J	2382
9	R	2382
9	J	2397
13	R	2397
13	J	2412
11	R	2412
12	J	2427
11	J	2427
12	R	2427
9	R	2427
10	J	2442
9	J	2442
10	R	2442
13	R	2442
13	J	2457
11	R	2457
11	J	2472
9	R	2472
9	J	2487
13	R	2487
13	J	2502
11	R	2502
11	J	2517
9	R	2517
12	J	2532
9	J	2532
12	R	2532
13	R	2532
10	J	2547
13	J	2547
10	R	2547
11	R	2547
11	J	2562
9	R	2562
9	J	2577
13	R	2577
13	J	2592
11	R	2592
11	J	2607
9	R	2607
9	J	2622
13	R	2622
12	J	2637
13	J	2637
12	R	2637
11	R	2637
10	J	2652
11	J	2652
10	R	2652
9	R	2652
9	J	2667
13	R	2667
13	J	2682
11	R	2682
11	J	2697
9	R	2697
9	J	2712
13	R	2712
13	J	2727
11	R	2727
12	J	2742
11	J	2742
12	R	2742
9	R	2742
10	J	2757
9	J	2757
10	R	2757
13	R	2757
13	J	2772
11	R	2772
11	J	2787
9	R	2787
9	J	2802
13	R	2802
13	J	2817
11	R	2817
11	J	2832
9	R	2832
12	J	2847
9	J	2847
12	R	2847
13	R	2847
10	J	2862
13	J	2862
10	R	2862
11	R	2862
11	J	2877
9	R	2877
9	J	2892
13	R	2892
13	J	2907
11	R	2907
11	J	2922
9	R	2922
9	J	2937
13	R	2937
12	J	2952
13	J	2952
12	R	2952
11	R	2952
10	J	2967
11	J	2967
10	R	2967
9	R	2967
9	J	2982
13	R	2982
13	J	2997
11	R	2997
11	J	3012
9	R	3012
9	J	3027
13	R	3027
13	J	3042
11	R	3042
12	J	3057
11	J	3057
12	R	3057
9	R	3057
10	J	3072
9	J	3072
10	R	3072
13	R	3072
3	J	3087
13	J	3087
3	R	3087
11	R	3090
11	J	3105
9	R	3105
9	J	3120
13	R	3120
13	J	3135
11	R	3135
11	J	3150
9	R	3150
12	J	3165
9	J	3165
12	R	3165
13	R	3165
10	J	3180
13	J	3180
10	R	3180
11	R	3180
11	J	3195
9	R	3195
9	J	3210
13	R	3210
13	J	3225
11	R	3225
11	J	3240
9	R	3240
9	J	3255
13	R	3255
12	J	3270
13	J	3270
12	R	3270
12	E	3270
8	J	3270
8	R	3271
8	W	3271
11	R	3271
10	J	3286
11	J	3286
10	R	3286
10	E	3286
8	J	3286
8	R	3286
8	W	3287
9	R	3287
9	J	3302
13	R	3302
13	J	3317
11	R	3317
11	J	3332
9	R	3332
9	J	3347
13	R	3347
